title,imdbid,production_countries
Cinderella,230,France
Gretchen the Greenhorn,6745,
Snow White,7361,
The Poor Little Rich Girl,8443,United States of America
Stella Maris,9652,United States of America
I Don't Want to Be a Man,10281,Germany
Within Our Gates,11870,United States of America
Orphans of the Storm,12532,United States of America
The Blot,11979,United States of America
Häxan,13257,Sweden
Foolish Wives,13140,United States of America
"Dr. Mabuse, the Gambler",13086,Germany
The Smiling Madame Beudet,13626,France
Greed,15881,United States of America
It,18033,United States of America
My Best Girl,18183,United States of America
The Patsy,19258,United States of America
Pandora's Box,18737,Germany
Juno and the Paycock,21015,United Kingdom
The Broadway Melody,19729,United States of America
Anna Christie,20641,United States of America
Ladies of Leisure,21040,United States of America
Min and Bill,21148,United States of America
The Bat Whispers,20668,United States of America
Murder!,21165,United Kingdom
Animal Crackers,20640,United States of America
M,22100,Germany
Mädchen in Uniform,22183,Germany
Night Nurse,22208,United States of America
Mata Hari,23196,United States of America
City Lights,21749,United States of America
The Public Enemy,22286,United States of America
La Chienne,21739,France
The Skin Game,22395,United Kingdom
Cimarron,21746,United States of America
Skippy,22397,United States of America
Grand Hotel,22958,United States of America
The Old Dark House,23293,United States of America
Vampyr,23649,Germany
Vampyr,23649,France
Shanghai Express,23458,United States of America
Three on a Match,23590,United States of America
Red-Headed Woman,23385,United States of America
Thirteen Women,23582,United States of America
Footlight Parade,24028,United States of America
Queen Christina,24481,United States of America
Little Women,24264,United States of America
Alice in Wonderland,23753,United States of America
The Vampire Bat,24727,United States of America
42nd Street,24034,United States of America
Gold Diggers of 1933,24069,United States of America
Female,24008,United States of America
A Study in Scarlet,24625,United States of America
Baby Face,23775,United States of America
Cavalcade,23876,United States of America
It Happened One Night,25316,United States of America
The Scarlet Empress,25746,United States of America
Maniac,25465,United States of America
Anne of Green Gables,24831,United States of America
Evelyn Prentice,25091,United States of America
The Man Who Knew Too Much,25452,United Kingdom
Imitation of Life,25301,United States of America
The 39 Steps,26029,United Kingdom
Naughty Marietta,26768,United States of America
Roberta,26942,United States of America
Magnificent Obsession,26667,United States of America
The Bride of Frankenstein,26138,United States of America
The Petrified Forest,28096,United States of America
Mr. Deeds Goes to Town,27996,United States of America
Born to Dance,27387,United States of America
Osaka Elegy,28021,Japan
Theodora Goes Wild,28355,United States of America
The Great Ziegfeld,27698,United States of America
The Only Son,27752,Japan
Camille,28683,United States of America
Pennies from Heaven,28092,United States of America
Romeo and Juliet,28203,United States of America
Bullets or Ballots,27407,United States of America
Sabotage,28212,United Kingdom
Secret Agent,28231,United Kingdom
Dracula's Daughter,27545,United States of America
Stage Door,29604,United States of America
Stella Dallas,29608,United States of America
Snow White and the Seven Dwarfs,29583,United States of America
Make Way for Tomorrow,29192,United States of America
The Awful Truth,28597,United States of America
Young and Innocent,29811,United Kingdom
Marked Woman,29217,United States of America
Drôle de Drame,27552,France
The Lady Vanishes,30341,United Kingdom
Holiday,30241,United States of America
Bringing Up Baby,29947,United States of America
Four Daughters,30149,United States of America
The Mad Miss Manton,30396,United States of America
The Women,32143,United States of America
Stagecoach,31971,United States of America
Ninotchka,31725,United States of America
Dark Victory,31210,United States of America
The Gorilla,31387,United States of America
The Rules of the Game,31885,France
Babes in Arms,31066,United States of America
Destry Rides Again,31225,United States of America
Nancy Drew... Reporter,31709,United States of America
The Adventures of Sherlock Holmes,31022,United States of America
Jamaica Inn,31505,United Kingdom
Love Affair,31593,United States of America
Rebecca,32976,United States of America
The Mortal Storm,32811,United States of America
The Grapes of Wrath,32551,United States of America
The Ape,32215,United States of America
His Girl Friday,32599,United States of America
The Sea Hawk,33028,United States of America
The Great Dictator,32553,United States of America
Pride and Prejudice,32943,United States of America
Primrose Path,32946,United States of America
"Dance, Girl, Dance",32376,United States of America
The Philadelphia Story,32904,United States of America
Gaslight,31359,United Kingdom
The Shop Around the Corner,33045,United States of America
The Shanghai Gesture,34175,United States of America
The Devil and Miss Jones,33533,United States of America
Cheers For Miss Bishop,33459,United States of America
Buck Privates,33436,United States of America
Hold That Ghost,33723,United States of America
Meet John Doe,33891,United States of America
Sullivan's Travels,34240,United States of America
Suspicion,34248,United States of America
How Green Was My Valley,33729,United States of America
The Reluctant Dragon,34091,United States of America
King of the Zombies,33787,United States of America
The Major and the Minor,35019,United States of America
"Now, Voyager",35140,United States of America
For Me and My Gal,34746,United States of America
Cat People,34587,United States of America
The Man Who Came to Dinner,33874,United States of America
Woman of the Year,35567,United States of America
Mrs. Miniver,35093,United States of America
Old Acquaintance,36230,United States of America
Watch on the Rhine,36515,United States of America
I Walked with a Zombie,36027,United States of America
Tender Comrade,36418,United States of America
Day of Wrath,36506,Denmark
Le Corbeau,35753,France
Shadow of a Doubt,36342,United States of America
Cry 'Havoc',35770,United States of America
So Proudly We Hail,36367,United States of America
Jane Eyre,36969,United States of America
The Seventh Victim,36341,United States of America
Double Indemnity,36775,United States of America
Meet Me in St. Louis,37059,United States of America
Laura,37008,United States of America
Cover Girl,36723,United States of America
Since You Went Away,37280,United States of America
To Have and Have Not,37382,United States of America
I'll Be Seeing You,36940,United States of America
National Velvet,37120,United States of America
The Most Beautiful,36947,Japan
Lifeboat,37017,United States of America
A Canterbury Tale,36695,United Kingdom
The Uninvited,37415,United States of America
Mildred Pierce,37913,United States of America
I Know Where I'm Going!,37800,United Kingdom
The Seventh Veil,38924,United Kingdom
Brief Encounter,37558,United Kingdom
Isle of the Dead,37820,United States of America
The Enchanted Cottage,37671,United States of America
Spellbound,38109,United States of America
"Rome, Open City",38890,Italy
Scarlet Street,38057,United States of America
The Woman in Green,38259,United States of America
Dead of Night,37635,United Kingdom
Les Dames du Bois de Boulogne,37630,France
The Wicked Lady,38250,United Kingdom
The Harvey Girls,38589,United States of America
Beauty and the Beast,38348,France
Two Sisters from Boston,39054,United States of America
It's a Wonderful Life,38650,United States of America
The Strange Woman,38990,United States of America
Dressed to Kill,38494,United States of America
The Stranger,38991,United States of America
Black Narcissus,39192,United Kingdom
The Shocking Miss Pilgrim,39819,United States of America
The Egg and I,39349,United States of America
The Ghost and Mrs. Muir,39420,United States of America
Body and Soul,39204,United States of America
Dishonored Lady,39324,United States of America
Miracle on 34th Street,39628,United States of America
The Red Shoes,40725,United Kingdom
Enchantment,40321,United States of America
Easter Parade,40308,United States of America
The Snake Pit,40806,United States of America
