title,imdbid,genres
Cinderella,230,Drama
Cinderella,230,Family
Cinderella,230,Fantasy
Cinderella,230,Romance
Gretchen the Greenhorn,6745,
Snow White,7361,Fantasy
Snow White,7361,Drama
The Poor Little Rich Girl,8443,Romance
The Poor Little Rich Girl,8443,Comedy
The Poor Little Rich Girl,8443,Drama
The Poor Little Rich Girl,8443,Fantasy
Stella Maris,9652,Drama
I Don't Want to Be a Man,10281,Comedy
I Don't Want to Be a Man,10281,Romance
Within Our Gates,11870,Drama
Within Our Gates,11870,Romance
Orphans of the Storm,12532,Drama
Orphans of the Storm,12532,History
Orphans of the Storm,12532,Romance
The Blot,11979,Drama
Häxan,13257,Documentary
Häxan,13257,Horror
Häxan,13257,History
Foolish Wives,13140,Drama
"Dr. Mabuse, the Gambler",13086,Crime
"Dr. Mabuse, the Gambler",13086,Drama
"Dr. Mabuse, the Gambler",13086,Mystery
"Dr. Mabuse, the Gambler",13086,Thriller
The Smiling Madame Beudet,13626,Drama
Greed,15881,Drama
Greed,15881,Crime
It,18033,Drama
It,18033,Comedy
It,18033,Romance
My Best Girl,18183,Drama
My Best Girl,18183,Comedy
My Best Girl,18183,Romance
The Patsy,19258,Comedy
The Patsy,19258,Drama
The Patsy,19258,Romance
Pandora's Box,18737,Drama
Pandora's Box,18737,Romance
Pandora's Box,18737,Crime
Juno and the Paycock,21015,Drama
Juno and the Paycock,21015,Comedy
The Broadway Melody,19729,Drama
The Broadway Melody,19729,Music
The Broadway Melody,19729,Romance
Anna Christie,20641,Drama
Anna Christie,20641,Romance
Ladies of Leisure,21040,Drama
Ladies of Leisure,21040,Romance
Min and Bill,21148,Drama
Min and Bill,21148,Comedy
The Bat Whispers,20668,Crime
The Bat Whispers,20668,Drama
The Bat Whispers,20668,Mystery
The Bat Whispers,20668,Thriller
The Bat Whispers,20668,Horror
Murder!,21165,Mystery
Murder!,21165,Thriller
Murder!,21165,Crime
Animal Crackers,20640,Comedy
Animal Crackers,20640,Music
M,22100,Drama
M,22100,Action
M,22100,Thriller
M,22100,Crime
Mädchen in Uniform,22183,Drama
Night Nurse,22208,Crime
Night Nurse,22208,Drama
Night Nurse,22208,Comedy
Mata Hari,23196,Crime
Mata Hari,23196,Drama
Mata Hari,23196,Romance
City Lights,21749,Comedy
City Lights,21749,Drama
City Lights,21749,Romance
The Public Enemy,22286,Crime
The Public Enemy,22286,Drama
La Chienne,21739,Drama
La Chienne,21739,Crime
The Skin Game,22395,Drama
Cimarron,21746,Drama
Cimarron,21746,Western
Cimarron,21746,History
Skippy,22397,Drama
Skippy,22397,Family
Skippy,22397,Comedy
Grand Hotel,22958,Drama
Grand Hotel,22958,Romance
The Old Dark House,23293,Comedy
The Old Dark House,23293,Horror
Vampyr,23649,Horror
Vampyr,23649,Fantasy
Shanghai Express,23458,Adventure
Shanghai Express,23458,Drama
Shanghai Express,23458,Romance
Shanghai Express,23458,Thriller
Three on a Match,23590,Crime
Three on a Match,23590,Drama
Red-Headed Woman,23385,Comedy
Red-Headed Woman,23385,Romance
Thirteen Women,23582,Drama
Thirteen Women,23582,Mystery
Footlight Parade,24028,Comedy
Footlight Parade,24028,Music
Footlight Parade,24028,Romance
Queen Christina,24481,Drama
Queen Christina,24481,History
Queen Christina,24481,Romance
Little Women,24264,Drama
Little Women,24264,Family
Alice in Wonderland,23753,Adventure
Alice in Wonderland,23753,Family
Alice in Wonderland,23753,Fantasy
